"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WAGEGAP","EMPLOYEE","PC","A","1975",21.58,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1976",20.75,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1977",18.39,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1978",19.79,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1979",20,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1980",18.75,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1981",18.25,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1982",20.82,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1983",19.16,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1984",18.67,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1985",19.61,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1986",18.85,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1987",18.52,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1988",18.79,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1989",18.59,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1990",18.18,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1991",16.02,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1992",14.26,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1993",13.22,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1994",14.41,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1995",14.48,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1997",15.25,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1998",13.24,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1999",14.29,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2000",17.2,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2001",14.34,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2002",15,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2003",13.04,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2004",14.35,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2005",15.78,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2006",16.67,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2007",15.4,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2008",11.94,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2009",16.36,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2010",14.04,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2011",15.97,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2012",13.75,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2013",18,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2014",15.77,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2015",13.31,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2016",13.73,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2017",13,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2018",13.45,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2019",15.31,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2020",10.53,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2021",10.47,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2022",9.88,
"AUT","WAGEGAP","SELFEMPLOYED","PC","A","2003",51.796035767,
"AUT","WAGEGAP","SELFEMPLOYED","PC","A","2004",49.966068268,
"AUT","WAGEGAP","SELFEMPLOYED","PC","A","2005",49.897182465,
"AUT","WAGEGAP","SELFEMPLOYED","PC","A","2006",47.264545441,
"AUT","WAGEGAP","SELFEMPLOYED","PC","A","2007",48.468040466,
"AUT","WAGEGAP","SELFEMPLOYED","PC","A","2008",48.604099274,
"AUT","WAGEGAP","SELFEMPLOYED","PC","A","2009",46.530117035,
"AUT","WAGEGAP","SELFEMPLOYED","PC","A","2010",45.362171173,
"AUT","WAGEGAP","SELFEMPLOYED","PC","A","2011",44.058097839,
"AUT","WAGEGAP","SELFEMPLOYED","PC","A","2012",45.369796753,
"AUT","WAGEGAP","SELFEMPLOYED","PC","A","2013",46.318145752,
"AUT","WAGEGAP","SELFEMPLOYED","PC","A","2014",48.716945648,
"AUT","WAGEGAP","SELFEMPLOYED","PC","A","2015",52.275894165,
"AUT","WAGEGAP","SELFEMPLOYED","PC","A","2016",52.446720123,
"AUT","WAGEGAP","SELFEMPLOYED","PC","A","2017",44.675640106,
"AUT","WAGEGAP","SELFEMPLOYED","PC","A","2018",40.955638885,
"AUT","WAGEGAP","SELFEMPLOYED","PC","A","2019",33.429973602,
"AUT","WAGEGAP","SELFEMPLOYED","PC","A","2020",34.543251038,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2000",23.14,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2001",22.8,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2002",24.49,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2003",21.14,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2004",22.43,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2005",22.03,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2006",21.86,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2007",21.63,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2008",20.92,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2009",19.36,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2010",19.19,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2011",18.55,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2012",18.19,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2013",18.05,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2014",17.73,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2015",17.04,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2016",15.67,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2017",15.38,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2018",14.88,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2019",14.01,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2020",12.38,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2021",12.16,
"BEL","WAGEGAP","SELFEMPLOYED","PC","A","2003",42.56760025,
"BEL","WAGEGAP","SELFEMPLOYED","PC","A","2004",44.539764404,
"BEL","WAGEGAP","SELFEMPLOYED","PC","A","2005",46.873012543,
"BEL","WAGEGAP","SELFEMPLOYED","PC","A","2006",45.036987305,
"BEL","WAGEGAP","SELFEMPLOYED","PC","A","2007",41.820960999,
"BEL","WAGEGAP","SELFEMPLOYED","PC","A","2008",35.682811737,
"BEL","WAGEGAP","SELFEMPLOYED","PC","A","2009",32.342735291,
"BEL","WAGEGAP","SELFEMPLOYED","PC","A","2010",30.243335724,
"BEL","WAGEGAP","SELFEMPLOYED","PC","A","2011",32.939476013,
"BEL","WAGEGAP","SELFEMPLOYED","PC","A","2012",34.088447571,
"BEL","WAGEGAP","SELFEMPLOYED","PC","A","2013",32.978439331,
"BEL","WAGEGAP","SELFEMPLOYED","PC","A","2014",31.244876862,
"BEL","WAGEGAP","SELFEMPLOYED","PC","A","2015",28.720335007,
"BEL","WAGEGAP","SELFEMPLOYED","PC","A","2016",28.63306427,
"BEL","WAGEGAP","SELFEMPLOYED","PC","A","2017",27.933237076,
"BEL","WAGEGAP","SELFEMPLOYED","PC","A","2018",27.394569397,
"BEL","WAGEGAP","SELFEMPLOYED","PC","A","2019",21.216751099,
"BEL","WAGEGAP","SELFEMPLOYED","PC","A","2020",18.836372375,
"BEL","WAGEGAP","EMPLOYEE","PC","A","1999",15.18,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2000",13.6,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2001",13.19,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2002",11.6,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2003",15.21,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2004",11.83,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2005",11.51,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2006",10.25,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2007",9.87,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2008",8.92,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2009",7.48,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2010",7.04,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2011",5.84,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2012",6.41,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2013",5.91,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2014",3.3,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2015",4.67,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2016",3.7,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2017",4.19,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2018",3.41,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2019",3.8,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2020",1.17,
"CAN","WAGEGAP","SELFEMPLOYED","PC","A","2006",42.694499969,
"CAN","WAGEGAP","SELFEMPLOYED","PC","A","2007",43.911998749,
"CAN","WAGEGAP","SELFEMPLOYED","PC","A","2008",44.255001068,
"CAN","WAGEGAP","SELFEMPLOYED","PC","A","2009",43.769664764,
"CAN","WAGEGAP","SELFEMPLOYED","PC","A","2010",45.027332306,
"CAN","WAGEGAP","SELFEMPLOYED","PC","A","2011",43.95533371,
"CAN","WAGEGAP","SELFEMPLOYED","PC","A","2012",44.086334229,
"CAN","WAGEGAP","SELFEMPLOYED","PC","A","2013",40.931999207,
"CAN","WAGEGAP","SELFEMPLOYED","PC","A","2014",39.04933548,
"CAN","WAGEGAP","SELFEMPLOYED","PC","A","2015",36.813999176,
"CAN","WAGEGAP","SELFEMPLOYED","PC","A","2016",33.539333344,
"CAN","WAGEGAP","SELFEMPLOYED","PC","A","2017",33.541023254,
"CAN","WAGEGAP","SELFEMPLOYED","PC","A","2018",31.75894928,
"CAN","WAGEGAP","SELFEMPLOYED","PC","A","2019",29.912654877,
"CAN","WAGEGAP","SELFEMPLOYED","PC","A","2020",28.245943069,
"CAN","WAGEGAP","EMPLOYEE","PC","A","1997",24.71,
"CAN","WAGEGAP","EMPLOYEE","PC","A","1998",24.86,
"CAN","WAGEGAP","EMPLOYEE","PC","A","1999",24,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2000",23.88,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2001",24.32,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2002",24.01,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2003",22.5,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2004",22.72,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2005",21.25,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2006",21.48,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2007",21.72,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2008",20.68,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2009",20,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2010",20.17,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2011",19.88,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2012",20.16,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2013",20,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2014",17.58,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2015",18.65,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2016",18.19,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2017",18.76,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2018",18.44,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2019",18.65,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2020",17.57,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2021",16.67,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2022",17.14,
"CZE","WAGEGAP","SELFEMPLOYED","PC","A","2004",32.046413422,
"CZE","WAGEGAP","SELFEMPLOYED","PC","A","2005",30.815345764,
"CZE","WAGEGAP","SELFEMPLOYED","PC","A","2006",28.949419022,
"CZE","WAGEGAP","SELFEMPLOYED","PC","A","2007",29.3561306,
"CZE","WAGEGAP","SELFEMPLOYED","PC","A","2008",29.208007813,
"CZE","WAGEGAP","SELFEMPLOYED","PC","A","2009",29.654512405,
"CZE","WAGEGAP","SELFEMPLOYED","PC","A","2010",29.797958374,
"CZE","WAGEGAP","SELFEMPLOYED","PC","A","2011",31.073228836,
"CZE","WAGEGAP","SELFEMPLOYED","PC","A","2012",31.23534584,
"CZE","WAGEGAP","SELFEMPLOYED","PC","A","2013",29.838407516,
"CZE","WAGEGAP","SELFEMPLOYED","PC","A","2014",29.452219009,
"CZE","WAGEGAP","SELFEMPLOYED","PC","A","2015",29.879547119,
"CZE","WAGEGAP","SELFEMPLOYED","PC","A","2016",31.317714691,
"CZE","WAGEGAP","SELFEMPLOYED","PC","A","2017",32.03011322,
"CZE","WAGEGAP","SELFEMPLOYED","PC","A","2018",32.318340302,
"CZE","WAGEGAP","SELFEMPLOYED","PC","A","2019",29.50245285,
"CZE","WAGEGAP","SELFEMPLOYED","PC","A","2020",27.953117371,
"CZE","WAGEGAP","EMPLOYEE","PC","A","1996",18.289856235,
"CZE","WAGEGAP","EMPLOYEE","PC","A","1997",18.43,
"CZE","WAGEGAP","EMPLOYEE","PC","A","1999",19.03,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2001",16.88,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2002",15.95,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2003",15.64,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2004",16.15,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2005",15.94,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2006",15.35,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2007",16.93,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2008",17.87,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2009",15.11,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2010",15.8,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2011",16.33,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2012",15.26,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2013",15.38,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2014",16.25,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2015",16.46,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2016",16.02,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2017",15.61,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2018",15.13,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2019",14.71,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2020",12.37,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2021",11.52,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2022",13.58,
"DNK","WAGEGAP","SELFEMPLOYED","PC","A","2003",9.2171945572,
"DNK","WAGEGAP","SELFEMPLOYED","PC","A","2004",6.2139482498,
"DNK","WAGEGAP","SELFEMPLOYED","PC","A","2005",12.367588997,
"DNK","WAGEGAP","SELFEMPLOYED","PC","A","2006",12.008332253,
"DNK","WAGEGAP","SELFEMPLOYED","PC","A","2007",17.159145355,
"DNK","WAGEGAP","SELFEMPLOYED","PC","A","2008",11.085051537,
"DNK","WAGEGAP","SELFEMPLOYED","PC","A","2009",15.07169342,
"DNK","WAGEGAP","SELFEMPLOYED","PC","A","2010",15.319856644,
"DNK","WAGEGAP","SELFEMPLOYED","PC","A","2011",19.164758682,
"DNK","WAGEGAP","SELFEMPLOYED","PC","A","2012",21.040700912,
"DNK","WAGEGAP","SELFEMPLOYED","PC","A","2013",-8.811937332,
"DNK","WAGEGAP","SELFEMPLOYED","PC","A","2014",5.9567775726,
"DNK","WAGEGAP","SELFEMPLOYED","PC","A","2015",0.52541852,
"DNK","WAGEGAP","SELFEMPLOYED","PC","A","2016",8.3018627167,
"DNK","WAGEGAP","SELFEMPLOYED","PC","A","2017",2.9588682652,
"DNK","WAGEGAP","SELFEMPLOYED","PC","A","2018",8.7965869904,
"DNK","WAGEGAP","SELFEMPLOYED","PC","A","2019",-2.174784422,
"DNK","WAGEGAP","SELFEMPLOYED","PC","A","2020",-1.681695938,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2002",10.8,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2003",9.92,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2004",10.18,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2005",10.17,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2006",10.17,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2007",9.85,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2008",10.18,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2009",10.17,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2010",8.9,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2011",7.95,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2012",7,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2013",6.77,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2014",6.32,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2015",5.84,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2016",5.73,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2017",5.3,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2018",4.86,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2019",5.06,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2020",4.99,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2021",5.58,
"FIN","WAGEGAP","SELFEMPLOYED","PC","A","2003",32.750133514,
"FIN","WAGEGAP","SELFEMPLOYED","PC","A","2004",35.396728516,
"FIN","WAGEGAP","SELFEMPLOYED","PC","A","2005",41.991329193,
"FIN","WAGEGAP","SELFEMPLOYED","PC","A","2006",39.519939423,
"FIN","WAGEGAP","SELFEMPLOYED","PC","A","2007",39.910362244,
"FIN","WAGEGAP","SELFEMPLOYED","PC","A","2008",36.902198792,
"FIN","WAGEGAP","SELFEMPLOYED","PC","A","2009",35.940090179,
"FIN","WAGEGAP","SELFEMPLOYED","PC","A","2010",33.25018692,
"FIN","WAGEGAP","SELFEMPLOYED","PC","A","2011",34.803096771,
"FIN","WAGEGAP","SELFEMPLOYED","PC","A","2012",34.581478119,
"FIN","WAGEGAP","SELFEMPLOYED","PC","A","2013",30.315122604,
"FIN","WAGEGAP","SELFEMPLOYED","PC","A","2014",25.819936752,
"FIN","WAGEGAP","SELFEMPLOYED","PC","A","2015",23.622652054,
"FIN","WAGEGAP","SELFEMPLOYED","PC","A","2016",25.350812912,
"FIN","WAGEGAP","SELFEMPLOYED","PC","A","2017",25.29186821,
"FIN","WAGEGAP","SELFEMPLOYED","PC","A","2018",20.918043137,
"FIN","WAGEGAP","SELFEMPLOYED","PC","A","2019",9.7632427216,
"FIN","WAGEGAP","SELFEMPLOYED","PC","A","2020",3.984675169,
"FIN","WAGEGAP","EMPLOYEE","PC","A","1977",27.69,
"FIN","WAGEGAP","EMPLOYEE","PC","A","1978",27.09,
"FIN","WAGEGAP","EMPLOYEE","PC","A","1979",27.17,
"FIN","WAGEGAP","EMPLOYEE","PC","A","1980",26.62,
"FIN","WAGEGAP","EMPLOYEE","PC","A","1982",25.96,
"FIN","WAGEGAP","EMPLOYEE","PC","A","1983",25.63,
"FIN","WAGEGAP","EMPLOYEE","PC","A","1984",23.43,
"FIN","WAGEGAP","EMPLOYEE","PC","A","1986",22.53,
"FIN","WAGEGAP","EMPLOYEE","PC","A","1987",23.61,
"FIN","WAGEGAP","EMPLOYEE","PC","A","1988",23.05,
"FIN","WAGEGAP","EMPLOYEE","PC","A","1989",23.56,
"FIN","WAGEGAP","EMPLOYEE","PC","A","1990",22.86,
"FIN","WAGEGAP","EMPLOYEE","PC","A","1991",21.47,
"FIN","WAGEGAP","EMPLOYEE","PC","A","1992",20.28,
"FIN","WAGEGAP","EMPLOYEE","PC","A","1993",21.98,
"FIN","WAGEGAP","EMPLOYEE","PC","A","1994",23.15,
"FIN","WAGEGAP","EMPLOYEE","PC","A","1995",22.4,
"FIN","WAGEGAP","EMPLOYEE","PC","A","1996",20.58,
"FIN","WAGEGAP","EMPLOYEE","PC","A","1997",21.33,
"FIN","WAGEGAP","EMPLOYEE","PC","A","1998",20.8,
"FIN","WAGEGAP","EMPLOYEE","PC","A","1999",21.72,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2000",20.43,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2001",21.24,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2002",20.37,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2003",20.1,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2004",20.02,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2005",18.94,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2006",19.37,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2007",21.38,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2008",21.23,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2009",19.68,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2010",18.88,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2011",18.61,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2012",18.73,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2013",20.18,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2014",19.61,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2015",18.06,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2016",16.47,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2017",17.72,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2018",18.86,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2019",17.159829635,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2020",15.98,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2021",15.34,
"FRA","WAGEGAP","SELFEMPLOYED","PC","A","2003",37.429203033,
"FRA","WAGEGAP","SELFEMPLOYED","PC","A","2004",33.925640106,
"FRA","WAGEGAP","SELFEMPLOYED","PC","A","2005",31.850799561,
"FRA","WAGEGAP","SELFEMPLOYED","PC","A","2006",32.934783936,
"FRA","WAGEGAP","SELFEMPLOYED","PC","A","2007",36.227027893,
"FRA","WAGEGAP","SELFEMPLOYED","PC","A","2008",35.962684631,
"FRA","WAGEGAP","SELFEMPLOYED","PC","A","2009",31.632947922,
"FRA","WAGEGAP","SELFEMPLOYED","PC","A","2010",29.949708939,
"FRA","WAGEGAP","SELFEMPLOYED","PC","A","2011",30.463502884,
"FRA","WAGEGAP","SELFEMPLOYED","PC","A","2012",30.187520981,
"FRA","WAGEGAP","SELFEMPLOYED","PC","A","2013",24.597135544,
"FRA","WAGEGAP","SELFEMPLOYED","PC","A","2014",23.698459625,
"FRA","WAGEGAP","SELFEMPLOYED","PC","A","2015",20.220615387,
"FRA","WAGEGAP","SELFEMPLOYED","PC","A","2016",17.939050674,
"FRA","WAGEGAP","SELFEMPLOYED","PC","A","2017",11.413352013,
"FRA","WAGEGAP","SELFEMPLOYED","PC","A","2018",3.0417764187,
"FRA","WAGEGAP","SELFEMPLOYED","PC","A","2019",-3.199722767,
"FRA","WAGEGAP","SELFEMPLOYED","PC","A","2020",-9.797081947,
"FRA","WAGEGAP","EMPLOYEE","PC","A","2002",13.3,
"FRA","WAGEGAP","EMPLOYEE","PC","A","2006",9.39,
"FRA","WAGEGAP","EMPLOYEE","PC","A","2010",9.12,
"FRA","WAGEGAP","EMPLOYEE","PC","A","2014",9.87,
"FRA","WAGEGAP","EMPLOYEE","PC","A","2018",11.82,
"FRA","WAGEGAP","EMPLOYEE","PC","A","2019",12.08,
"FRA","WAGEGAP","EMPLOYEE","PC","A","2020",11.77,
