"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","WAGEGAP","EMPLOYEE","PC","A","2021",11.56,
"DEU","WAGEGAP","EMPLOYEE","PC","A","1992",27.1,
"DEU","WAGEGAP","EMPLOYEE","PC","A","1993",22.94,
"DEU","WAGEGAP","EMPLOYEE","PC","A","1994",21.07,
"DEU","WAGEGAP","EMPLOYEE","PC","A","1995",19.54,
"DEU","WAGEGAP","EMPLOYEE","PC","A","1996",20.74,
"DEU","WAGEGAP","EMPLOYEE","PC","A","1997",21.58,
"DEU","WAGEGAP","EMPLOYEE","PC","A","1998",20.61,
"DEU","WAGEGAP","EMPLOYEE","PC","A","1999",20.59,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2000",19.54,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2001",19.1,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2002",18.63,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2003",19.82,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2004",21.24,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2005",16.81,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2006",18.54,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2007",16.96,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2008",16.96,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2009",16.96,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2010",16.69,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2011",16.94,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2012",16.3,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2013",14.32,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2014",17.19,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2015",16.14,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2016",15.83,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2017",14.43,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2018",15.44,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2019",13.99,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2020",14.2,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2021",13.66,
"GRC","WAGEGAP","SELFEMPLOYED","PC","A","2006",41.975521088,
"GRC","WAGEGAP","SELFEMPLOYED","PC","A","2007",39.18744278,
"GRC","WAGEGAP","SELFEMPLOYED","PC","A","2008",38.112781525,
"GRC","WAGEGAP","SELFEMPLOYED","PC","A","2009",42.146839142,
"GRC","WAGEGAP","SELFEMPLOYED","PC","A","2010",44.008476257,
"GRC","WAGEGAP","SELFEMPLOYED","PC","A","2011",46.311401367,
"GRC","WAGEGAP","SELFEMPLOYED","PC","A","2012",39.449081421,
"GRC","WAGEGAP","SELFEMPLOYED","PC","A","2013",36.087718964,
"GRC","WAGEGAP","SELFEMPLOYED","PC","A","2014",34.000930786,
"GRC","WAGEGAP","SELFEMPLOYED","PC","A","2015",33.744636536,
"GRC","WAGEGAP","SELFEMPLOYED","PC","A","2016",33.975883484,
"GRC","WAGEGAP","SELFEMPLOYED","PC","A","2017",35.668903351,
"GRC","WAGEGAP","SELFEMPLOYED","PC","A","2018",37.628200531,
"GRC","WAGEGAP","SELFEMPLOYED","PC","A","2019",28.553321838,
"GRC","WAGEGAP","SELFEMPLOYED","PC","A","2020",25.202064514,
"GRC","WAGEGAP","EMPLOYEE","PC","A","2002",23.57,
"GRC","WAGEGAP","EMPLOYEE","PC","A","2006",17.73,
"GRC","WAGEGAP","EMPLOYEE","PC","A","2010",9.9099099099,
"GRC","WAGEGAP","EMPLOYEE","PC","A","2014",7.17,
"GRC","WAGEGAP","EMPLOYEE","PC","A","2018",5.91,
"GRC","WAGEGAP","EMPLOYEE","PC","A","2019",5.91,
"GRC","WAGEGAP","EMPLOYEE","PC","A","2020",7.95,
"GRC","WAGEGAP","EMPLOYEE","PC","A","2021",6.93,
"HUN","WAGEGAP","SELFEMPLOYED","PC","A","2004",29.286546707,
"HUN","WAGEGAP","SELFEMPLOYED","PC","A","2005",26.686216354,
"HUN","WAGEGAP","SELFEMPLOYED","PC","A","2006",26.587032318,
"HUN","WAGEGAP","SELFEMPLOYED","PC","A","2007",23.905370712,
"HUN","WAGEGAP","SELFEMPLOYED","PC","A","2008",27.657945633,
"HUN","WAGEGAP","SELFEMPLOYED","PC","A","2009",31.658668518,
"HUN","WAGEGAP","SELFEMPLOYED","PC","A","2010",32.909660339,
"HUN","WAGEGAP","SELFEMPLOYED","PC","A","2011",31.195148468,
"HUN","WAGEGAP","SELFEMPLOYED","PC","A","2012",24.957807541,
"HUN","WAGEGAP","SELFEMPLOYED","PC","A","2013",21.692033768,
"HUN","WAGEGAP","SELFEMPLOYED","PC","A","2014",18.838945389,
"HUN","WAGEGAP","SELFEMPLOYED","PC","A","2015",18.904661179,
"HUN","WAGEGAP","SELFEMPLOYED","PC","A","2016",11.194040298,
"HUN","WAGEGAP","SELFEMPLOYED","PC","A","2017",9.6026563644,
"HUN","WAGEGAP","SELFEMPLOYED","PC","A","2018",10.709539413,
"HUN","WAGEGAP","SELFEMPLOYED","PC","A","2019",14.054944038,
"HUN","WAGEGAP","SELFEMPLOYED","PC","A","2020",13.334152222,
"HUN","WAGEGAP","EMPLOYEE","PC","A","1989",25.979979418,
"HUN","WAGEGAP","EMPLOYEE","PC","A","1992",17.39,
"HUN","WAGEGAP","EMPLOYEE","PC","A","1993",7.95,
"HUN","WAGEGAP","EMPLOYEE","PC","A","1994",15.18,
"HUN","WAGEGAP","EMPLOYEE","PC","A","1995",15.75,
"HUN","WAGEGAP","EMPLOYEE","PC","A","1996",17.78,
"HUN","WAGEGAP","EMPLOYEE","PC","A","1998",15.67,
"HUN","WAGEGAP","EMPLOYEE","PC","A","1999",15.3,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2000",14.1,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2001",13.69,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2002",9.13,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2003",1.48,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2004",3.03,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2005",4.02,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2006",0.38,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2007",3.65,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2008",2.22,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2009",3.88,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2010",6.38,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2011",6.86,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2012",11.33,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2013",8.72,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2014",3.77,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2015",9.52,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2016",9.36,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2017",5.32,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2018",5.06,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2019",12.75,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2020",12.350016442,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2021",13.08,
"ISL","WAGEGAP","SELFEMPLOYED","PC","A","2003",44.341545105,
"ISL","WAGEGAP","SELFEMPLOYED","PC","A","2004",40.796829224,
"ISL","WAGEGAP","SELFEMPLOYED","PC","A","2005",34.343261719,
"ISL","WAGEGAP","SELFEMPLOYED","PC","A","2006",28.281749725,
"ISL","WAGEGAP","SELFEMPLOYED","PC","A","2007",24.90111351,
"ISL","WAGEGAP","SELFEMPLOYED","PC","A","2008",20.500671387,
"ISL","WAGEGAP","SELFEMPLOYED","PC","A","2009",15.902356148,
"ISL","WAGEGAP","SELFEMPLOYED","PC","A","2010",11.351818085,
"ISL","WAGEGAP","SELFEMPLOYED","PC","A","2011",17.470737457,
"ISL","WAGEGAP","SELFEMPLOYED","PC","A","2012",24.54683876,
"ISL","WAGEGAP","SELFEMPLOYED","PC","A","2013",25.993291855,
"ISL","WAGEGAP","SELFEMPLOYED","PC","A","2014",16.889810562,
"ISL","WAGEGAP","SELFEMPLOYED","PC","A","2015",11.491612434,
"ISL","WAGEGAP","SELFEMPLOYED","PC","A","2016",15.071327209,
"ISL","WAGEGAP","SELFEMPLOYED","PC","A","2017",21.649953842,
"ISL","WAGEGAP","EMPLOYEE","PC","A","2002",28.72,
"ISL","WAGEGAP","EMPLOYEE","PC","A","2006",23.27,
"ISL","WAGEGAP","EMPLOYEE","PC","A","2010",16.46,
"ISL","WAGEGAP","EMPLOYEE","PC","A","2014",13.84,
"ISL","WAGEGAP","EMPLOYEE","PC","A","2018",12.9,
"ISL","WAGEGAP","EMPLOYEE","PC","A","2019",13.28,
"ISL","WAGEGAP","EMPLOYEE","PC","A","2020",11.41,
"ISL","WAGEGAP","EMPLOYEE","PC","A","2021",9.72,
"IRL","WAGEGAP","SELFEMPLOYED","PC","A","2003",25.482103348,
"IRL","WAGEGAP","SELFEMPLOYED","PC","A","2004",28.411808014,
"IRL","WAGEGAP","SELFEMPLOYED","PC","A","2005",28.568733215,
"IRL","WAGEGAP","SELFEMPLOYED","PC","A","2006",33.646671295,
"IRL","WAGEGAP","SELFEMPLOYED","PC","A","2007",29.999492645,
"IRL","WAGEGAP","SELFEMPLOYED","PC","A","2008",26.541099548,
"IRL","WAGEGAP","SELFEMPLOYED","PC","A","2009",19.366401672,
"IRL","WAGEGAP","SELFEMPLOYED","PC","A","2010",21.431070328,
"IRL","WAGEGAP","SELFEMPLOYED","PC","A","2011",23.74650383,
"IRL","WAGEGAP","SELFEMPLOYED","PC","A","2012",28.876281738,
"IRL","WAGEGAP","SELFEMPLOYED","PC","A","2013",31.341690063,
"IRL","WAGEGAP","SELFEMPLOYED","PC","A","2014",33.578033447,
"IRL","WAGEGAP","SELFEMPLOYED","PC","A","2015",36.063980103,
"IRL","WAGEGAP","SELFEMPLOYED","PC","A","2016",33.994884491,
"IRL","WAGEGAP","SELFEMPLOYED","PC","A","2017",30.231924057,
"IRL","WAGEGAP","SELFEMPLOYED","PC","A","2018",27.333669662,
"IRL","WAGEGAP","SELFEMPLOYED","PC","A","2019",26.177095413,
"IRL","WAGEGAP","SELFEMPLOYED","PC","A","2020",29.945623398,
"IRL","WAGEGAP","EMPLOYEE","PC","A","2002",17.77,
"IRL","WAGEGAP","EMPLOYEE","PC","A","2006",19.6,
"IRL","WAGEGAP","EMPLOYEE","PC","A","2010",14.35,
"IRL","WAGEGAP","EMPLOYEE","PC","A","2014",10.61,
"IRL","WAGEGAP","EMPLOYEE","PC","A","2018",8.28,
"IRL","WAGEGAP","EMPLOYEE","PC","A","2019",7.92,
"IRL","WAGEGAP","EMPLOYEE","PC","A","2020",7.26,
"IRL","WAGEGAP","EMPLOYEE","PC","A","2021",7.26,
"ITA","WAGEGAP","SELFEMPLOYED","PC","A","2006",48.015357971,
"ITA","WAGEGAP","SELFEMPLOYED","PC","A","2007",48.111118317,
"ITA","WAGEGAP","SELFEMPLOYED","PC","A","2008",46.708091736,
"ITA","WAGEGAP","SELFEMPLOYED","PC","A","2009",49.704479218,
"ITA","WAGEGAP","SELFEMPLOYED","PC","A","2010",52.856128693,
"ITA","WAGEGAP","SELFEMPLOYED","PC","A","2011",55.667312622,
"ITA","WAGEGAP","SELFEMPLOYED","PC","A","2012",55.847187042,
"ITA","WAGEGAP","SELFEMPLOYED","PC","A","2013",53.375465393,
"ITA","WAGEGAP","SELFEMPLOYED","PC","A","2014",52.622951508,
"ITA","WAGEGAP","SELFEMPLOYED","PC","A","2015",48.54083252,
"ITA","WAGEGAP","SELFEMPLOYED","PC","A","2016",46.399925232,
"ITA","WAGEGAP","SELFEMPLOYED","PC","A","2017",43.962245941,
"ITA","WAGEGAP","SELFEMPLOYED","PC","A","2018",44.926818848,
"ITA","WAGEGAP","SELFEMPLOYED","PC","A","2019",36.09053421,
"ITA","WAGEGAP","SELFEMPLOYED","PC","A","2020",33.475154877,
"ITA","WAGEGAP","EMPLOYEE","PC","A","2002",15.73,
"ITA","WAGEGAP","EMPLOYEE","PC","A","2006",10.51,
"ITA","WAGEGAP","EMPLOYEE","PC","A","2010",5.64,
"ITA","WAGEGAP","EMPLOYEE","PC","A","2014",6.58,
"ITA","WAGEGAP","EMPLOYEE","PC","A","2018",5.71,
"ITA","WAGEGAP","EMPLOYEE","PC","A","2019",5.55,
"ITA","WAGEGAP","EMPLOYEE","PC","A","2020",4.77,
"ITA","WAGEGAP","EMPLOYEE","PC","A","2021",5.68,
"JPN","WAGEGAP","EMPLOYEE","PC","A","1975",42.389758179,
"JPN","WAGEGAP","EMPLOYEE","PC","A","1976",39.74,
"JPN","WAGEGAP","EMPLOYEE","PC","A","1977",40.33,
"JPN","WAGEGAP","EMPLOYEE","PC","A","1978",40.57,
"JPN","WAGEGAP","EMPLOYEE","PC","A","1979",41.31,
"JPN","WAGEGAP","EMPLOYEE","PC","A","1980",41.68030551,
"JPN","WAGEGAP","EMPLOYEE","PC","A","1981",41.96,
"JPN","WAGEGAP","EMPLOYEE","PC","A","1982",42.16,
"JPN","WAGEGAP","EMPLOYEE","PC","A","1983",41.9,
"JPN","WAGEGAP","EMPLOYEE","PC","A","1984",41.93,
"JPN","WAGEGAP","EMPLOYEE","PC","A","1985",41.66,
"JPN","WAGEGAP","EMPLOYEE","PC","A","1986",41.61,
"JPN","WAGEGAP","EMPLOYEE","PC","A","1987",41.23,
"JPN","WAGEGAP","EMPLOYEE","PC","A","1988",41.02,
"JPN","WAGEGAP","EMPLOYEE","PC","A","1989",40.96,
"JPN","WAGEGAP","EMPLOYEE","PC","A","1990",40.6,
"JPN","WAGEGAP","EMPLOYEE","PC","A","1991",39.9,
"JPN","WAGEGAP","EMPLOYEE","PC","A","1992",38.88,
"JPN","WAGEGAP","EMPLOYEE","PC","A","1993",38.45,
"JPN","WAGEGAP","EMPLOYEE","PC","A","1994",37.82,
"JPN","WAGEGAP","EMPLOYEE","PC","A","1995",37.090301003,
"JPN","WAGEGAP","EMPLOYEE","PC","A","1996",36.85,
"JPN","WAGEGAP","EMPLOYEE","PC","A","1997",36.52,
"JPN","WAGEGAP","EMPLOYEE","PC","A","1998",35.31,
"JPN","WAGEGAP","EMPLOYEE","PC","A","1999",34.55,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2000",33.86,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2001",33.86,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2002",32.529722589,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2003",32,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2004",31.09,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2005",32.83,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2006",32.98,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2007",31.74,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2008",30.69,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2009",28.28,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2010",28.68,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2011",27.4,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2012",26.52,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2013",26.59,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2014",25.87,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2015",25.73,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2016",24.6,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2017",24.52,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2018",23.54,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2019",23.480013436,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2020",22.52,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2021",22.11,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2022",21.347941567,
"KOR","WAGEGAP","EMPLOYEE","PC","A","1985",52.78,
"KOR","WAGEGAP","EMPLOYEE","PC","A","1992",46.97,
"KOR","WAGEGAP","EMPLOYEE","PC","A","1993",47.260317787,
"KOR","WAGEGAP","EMPLOYEE","PC","A","1994",45.51,
"KOR","WAGEGAP","EMPLOYEE","PC","A","1995",44.18,
"KOR","WAGEGAP","EMPLOYEE","PC","A","1996",43.28,
"KOR","WAGEGAP","EMPLOYEE","PC","A","1997",42.22,
"KOR","WAGEGAP","EMPLOYEE","PC","A","1998",42.02,
"KOR","WAGEGAP","EMPLOYEE","PC","A","1999",41.8,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2000",41.65,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2001",40.42,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2002",41.03,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2003",40.08,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2004",39.62,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2005",39.62,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2006",39.77,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2007",38.16,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2008",39.04,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2009",38.61,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2010",39.61,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2011",36.56,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2012",36.3,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2013",36.599634369,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2014",36.65,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2015",37.18,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2016",36.67,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2017",34.62,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2018",34.11,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2019",32.48,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2020",31.48,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2021",31.06,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2022",31.24,
"LUX","WAGEGAP","SELFEMPLOYED","PC","A","2003",46.461734772,
"LUX","WAGEGAP","SELFEMPLOYED","PC","A","2004",45.352706909,
"LUX","WAGEGAP","SELFEMPLOYED","PC","A","2005",37.065757751,
"LUX","WAGEGAP","SELFEMPLOYED","PC","A","2006",42.774459839,
"LUX","WAGEGAP","SELFEMPLOYED","PC","A","2007",45.74540329,
"LUX","WAGEGAP","SELFEMPLOYED","PC","A","2008",44.475582123,
"LUX","WAGEGAP","SELFEMPLOYED","PC","A","2009",36.782512665,
"LUX","WAGEGAP","SELFEMPLOYED","PC","A","2010",25.906326294,
"LUX","WAGEGAP","SELFEMPLOYED","PC","A","2011",22.909597397,
"LUX","WAGEGAP","SELFEMPLOYED","PC","A","2012",16.378583908,
"LUX","WAGEGAP","SELFEMPLOYED","PC","A","2013",11.021029472,
"LUX","WAGEGAP","SELFEMPLOYED","PC","A","2014",4.596394062,
"LUX","WAGEGAP","SELFEMPLOYED","PC","A","2015",7.9959316254,
"LUX","WAGEGAP","SELFEMPLOYED","PC","A","2016",11.557678223,
"LUX","WAGEGAP","SELFEMPLOYED","PC","A","2017",15.522672653,
"LUX","WAGEGAP","SELFEMPLOYED","PC","A","2018",19.163221359,
"LUX","WAGEGAP","SELFEMPLOYED","PC","A","2019",20.378965378,
"LUX","WAGEGAP","SELFEMPLOYED","PC","A","2020",22.295013428,
"LUX","WAGEGAP","EMPLOYEE","PC","A","2002",15.09,
"LUX","WAGEGAP","EMPLOYEE","PC","A","2006",7.67,
"LUX","WAGEGAP","EMPLOYEE","PC","A","2010",4.59,
"LUX","WAGEGAP","EMPLOYEE","PC","A","2014",3.4,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2005",16.67,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2006",18.6,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2007",12.5,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2008",22.22,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2009",16.67,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2010",11.63,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2011",10,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2012",13.56,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2013",15.43,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2014",18.3,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2015",16.67,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2016",16.49,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2017",11.11,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2018",14,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2021",12.5,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2022",16.67,
"NLD","WAGEGAP","SELFEMPLOYED","PC","A","2004",37.014419556,
"NLD","WAGEGAP","SELFEMPLOYED","PC","A","2005",38.559661865,
"NLD","WAGEGAP","SELFEMPLOYED","PC","A","2006",42.269676208,
"NLD","WAGEGAP","SELFEMPLOYED","PC","A","2007",44.168682098,
"NLD","WAGEGAP","SELFEMPLOYED","PC","A","2008",41.469894409,
"NLD","WAGEGAP","SELFEMPLOYED","PC","A","2009",35.052986145,
"NLD","WAGEGAP","SELFEMPLOYED","PC","A","2010",30.314096451,
"NLD","WAGEGAP","SELFEMPLOYED","PC","A","2011",27.785741806,
"NLD","WAGEGAP","SELFEMPLOYED","PC","A","2012",26.04763031,
"NLD","WAGEGAP","SELFEMPLOYED","PC","A","2013",22.184499741,
"NLD","WAGEGAP","SELFEMPLOYED","PC","A","2014",24.550510406,
"NLD","WAGEGAP","SELFEMPLOYED","PC","A","2015",28.814785004,
"NLD","WAGEGAP","SELFEMPLOYED","PC","A","2016",32.024646759,
"NLD","WAGEGAP","SELFEMPLOYED","PC","A","2017",30.726119995,
"NLD","WAGEGAP","SELFEMPLOYED","PC","A","2018",28.285686493,
"NLD","WAGEGAP","SELFEMPLOYED","PC","A","2019",25.988477707,
"NLD","WAGEGAP","SELFEMPLOYED","PC","A","2020",25.228740692,
"NLD","WAGEGAP","EMPLOYEE","PC","A","2002",15.64,
"NLD","WAGEGAP","EMPLOYEE","PC","A","2006",15.98,
"NLD","WAGEGAP","EMPLOYEE","PC","A","2010",17.89,
"NLD","WAGEGAP","EMPLOYEE","PC","A","2014",15.3,
"NLD","WAGEGAP","EMPLOYEE","PC","A","2018",12.66,
"NLD","WAGEGAP","EMPLOYEE","PC","A","2019",13.4,
"NLD","WAGEGAP","EMPLOYEE","PC","A","2020",13.33,
"NLD","WAGEGAP","EMPLOYEE","PC","A","2021",13.23,
"NZL","WAGEGAP","SELFEMPLOYED","PC","A","1998",41.308052063,
"NZL","WAGEGAP","SELFEMPLOYED","PC","A","1999",39.933563232,
"NZL","WAGEGAP","SELFEMPLOYED","PC","A","2000",35.723064423,
"NZL","WAGEGAP","SELFEMPLOYED","PC","A","2001",30.412302017,
"NZL","WAGEGAP","SELFEMPLOYED","PC","A","2002",28.088359833,
"NZL","WAGEGAP","SELFEMPLOYED","PC","A","2003",29.687078476,
"NZL","WAGEGAP","SELFEMPLOYED","PC","A","2004",33.264064789,
"NZL","WAGEGAP","SELFEMPLOYED","PC","A","2005",35.477622986,
"NZL","WAGEGAP","SELFEMPLOYED","PC","A","2006",34.080451965,
"NZL","WAGEGAP","SELFEMPLOYED","PC","A","2007",36.264549255,
"NZL","WAGEGAP","SELFEMPLOYED","PC","A","2008",34.753818512,
"NZL","WAGEGAP","SELFEMPLOYED","PC","A","2009",35.189834595,
"NZL","WAGEGAP","SELFEMPLOYED","PC","A","2010",34.089702606,
"NZL","WAGEGAP","SELFEMPLOYED","PC","A","2011",31.657901764,
"NZL","WAGEGAP","SELFEMPLOYED","PC","A","2012",32.421989441,
"NZL","WAGEGAP","SELFEMPLOYED","PC","A","2013",32.734462738,
"NZL","WAGEGAP","SELFEMPLOYED","PC","A","2014",36.94777298,
